series,real_fraction,mean_final,sd_final,n_seeds
extended:causal_drop,0.1,1,0.7821,0.0754,0
extended:causal_drop,0.1,2,0.8879,0.0786,0
extended:causal_drop,0.1,3,0.7571,0.1729,0
extended:causal_drop,0.1,4,0.8586,0.0264,0
extended:causal_drop,0.1,5,0.7747,0.156,0
extended:causal_drop,0.25,0,0.6458,0.1046,0
extended:causal_drop,0.25,1,0.5707,0.4064,0
extended:causal_drop,0.25,2,0.8616,0.1057,0
extended:causal_drop,0.25,3,0.8381,0.0748,0
extended:causal_drop,0.25,4,0.8505,0.1153,0
extended:causal_drop,0.25,5,0.8341,0.0748,0
extended:causal_drop,0.5,0,0.6458,0.1046,0
extended:causal_drop,0.5,1,0.5859,0.4143,0
extended:causal_drop,0.5,2,0.8757,0.1733,0
extended:causal_drop,0.5,3,0.7324,0.1539,0
extended:causal_drop,0.5,4,0.8013,0.1522,0
extended:causal_drop,0.5,5,0.8249,0.1123,0
extended:causal_drop,1.0,0,0.6458,0.1046,0
extended:causal_drop,1.0,1,0.6768,0.2649,0
extended:causal_drop,1.0,2,0.8697,0.148,0
extended:causal_drop,1.0,3,0.9313,0.0684,0
extended:causal_drop,1.0,4,0.6764,0.1097,0
extended:causal_drop,1.0,5,0.7969,0.0316,0
extended:off_context,0.0,0,0.0121,0.0003,0
extended:off_context,0.0,1,0.0199,0.0018,0
extended:off_context,0.0,2,0.0283,0.0018,0
extended:off_context,0.0,3,0.0368,0.0046,0
extended:off_context,0.0,4,0.0452,0.0048,0
extended:off_context,0.0,5,0.0521,0.0049,0
extended:off_context,0.1,0,0.0121,0.0003,0
extended:off_context,0.1,1,0.0215,0.0001,0
extended:off_context,0.1,2,0.0292,0.0017,0
extended:off_context,0.1,3,0.0359,0.0031,0
extended:off_context,0.1,4,0.0394,0.0035,0
extended:off_context,0.1,5,0.0439,0.0032,0
extended:off_context,0.25,0,0.0121,0.0003,0
extended:off_context,0.25,1,0.0192,0.0009,0
extended:off_context,0.25,2,0.0241,0.0011,0
extended:off_context,0.25,3,0.0277,0.0012,0
extended:off_context,0.25,4,0.0301,0.0033,0
extended:off_context,0.25,5,0.0311,0.0025,0
extended:off_context,0.5,0,0.0121,0.0003,0
extended:off_context,0.5,1,0.0162,0.002,0
extended:off_context,0.5,2,0.0174,0.0008,0
extended:off_context,0.5,3,0.0198,0.0014,0
extended:off_context,0.5,4,0.0213,0.0018,0
extended:off_context,0.5,5,0.0218,0.0025,0
extended:off_context,1.0,0,0.0121,0.0003,0
extended:off_context,1.0,1,0.0108,0.0011,0
extended:off_context,1.0,2,0.0114,0.0007,0
extended:off_context,1.0,3,0.0117,0.0008,0
extended:off_context,1.0,4,0.0118,0.0003,0
extended:off_context,1.0,5,0.0117,0.0011,0
extended:query_acc_all,0.0,0,1.0,0.0,0
extended:query_acc_all,0.0,1,0.9999,0.0001,0
extended:query_acc_all,0.0,2,0.9998,0.0002,0
extended:query_acc_all,0.0,3,0.9999,0.0001,0
extended:query_acc_all,0.0,4,0.9998,0.0002,0
extended:query_acc_all,0.0,5,0.9999,0.0001,0
extended:query_acc_all,0.1,0,1.0,0.0,0
extended:query_acc_all,0.1,1,0.9999,0.0001,0
extended:query_acc_all,0.1,2,0.9998,0.0002,0
extended:query_acc_all,0.1,3,0.9997,0.0002,0
extended:query_acc_all,0.1,4,0.9999,0.0001,0
extended:query_acc_all,0.1,5,0.9999,0.0001,0
extended:query_acc_all,0.25,0,1.0,0.0,0
extended:query_acc_all,0.25,1,0.9995,0.0007,0
extended:query_acc_all,0.25,2,0.9997,0.0003,0
extended:query_acc_all,0.25,3,0.9998,0.0002,0
extended:query_acc_all,0.25,4,0.9996,0.0002,0
extended:query_acc_all,0.25,5,0.9999,0.0001,0
